Fil_SITE_NO	Fil_STATION_NM	RECORD_NO	Fil_SAMPLE_START_DT	Fil_LAB_NO	Unf_LAB_NO	Fil_PARM_CD	Fil_PARM_NM	Unf_PARM_CD	Unf_PARM_NM	Fil_RESULT_VA	Unf_RESULT_VA	Fil_RPT_LEV_VA	Unf_RPT_LEV_VA	flags
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01025	Cadmium, wf	NA	NA	0.8491	NA	.01	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01030	Chromium, wf	NA	NA	0.8677	NA	.01	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01035	Cobalt, wf	NA	NA	0.0317	NA	.01	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01040	Copper, wf	NA	NA	2.19	NA	.13	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01046	Iron, wf	NA	NA	9.61	NA	6	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01049	Lead, wf	NA	NA	0.1146	NA	.02	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01056	Manganese, wf	NA	NA	8.15	NA	4	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01060	Molybdenum, wf	NA	NA	0.0185	NA	.03	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01065	Nickel, wf	NA	NA	1.97	NA	.1	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01075	Silver, wf	NA	NA	0.3133	NA	.1	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01080	Strontium, wf	NA	NA	110.9	NA	.24	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01085	Vanadium, wf	NA	NA	0.0747	NA	.01	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01090	Zinc, wf	NA	NA	157.8	NA	2	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01090	Zinc, wf	NA	NA	157.8	NA	2	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01106	Aluminum, wf	NA	NA	19.4	NA	2	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01000	Arsenic, wf	NA	NA	0.0977	NA	.04	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01005	Barium, wf	NA	NA	43.75	NA	.02	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01025	Cadmium, wf	NA	NA	3.94	NA	.01	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01030	Chromium, wf	NA	NA	0.6078	NA	.01	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01035	Cobalt, wf	NA	NA	0.0212	NA	.01	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01040	Copper, wf	NA	NA	0.3158	NA	.13	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01046	Iron, wf	NA	NA	6	NA	6	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01049	Lead, wf	NA	NA	0.02	NA	.02	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01056	Manganese, wf	NA	NA	5.61	NA	4	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01060	Molybdenum, wf	NA	NA	0.03	NA	.03	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01065	Nickel, wf	NA	NA	15.51	NA	.1	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01075	Silver, wf	NA	NA	0.1049	NA	.1	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01080	Strontium, wf	NA	NA	222.3	NA	.24	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01085	Vanadium, wf	NA	NA	0.0483	NA	.01	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01090	Zinc, wf	NA	NA	2464	NA	2	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01090	Zinc, wf	NA	NA	2464	NA	2	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01106	Aluminum, wf	NA	NA	3.13	NA	2	0	
391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	00603679	2006-06-07 13:00:00	W-91901	NA	01130	Lithium, wf	NA	NA	1.97	NA	1.55	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01000	Arsenic, wf	NA	NA	0.1124	NA	.04	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01005	Barium, wf	NA	NA	26.56	NA	.02	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01025	Cadmium, wf	NA	NA	49.92	NA	.01	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01030	Chromium, wf	NA	NA	0.7761	NA	.01	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01035	Cobalt, wf	NA	NA	0.0145	NA	.01	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01040	Copper, wf	NA	NA	3.7	NA	.13	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01046	Iron, wf	NA	NA	12.65	NA	6	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01049	Lead, wf	NA	NA	0.0608	NA	.02	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01056	Manganese, wf	NA	NA	933	NA	4	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01060	Molybdenum, wf	NA	NA	0.03	NA	.03	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01065	Nickel, wf	NA	NA	34.78	NA	.1	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01075	Silver, wf	NA	NA	0.0503	NA	.1	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01080	Strontium, wf	NA	NA	288.6	NA	.24	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01085	Vanadium, wf	NA	NA	0.027	NA	.01	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01090	Zinc, wf	NA	NA	8418	NA	2	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01090	Zinc, wf	NA	NA	8418	NA	2	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01106	Aluminum, wf	NA	NA	203.2	NA	2	0	
391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	00603680	2006-06-07 14:00:00	W-91908	NA	01130	Lithium, wf	NA	NA	3.43	NA	1.55	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01000	Arsenic, wf	NA	NA	0.4535	NA	.04	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01005	Barium, wf	NA	NA	9.01	NA	.02	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01025	Cadmium, wf	NA	NA	0.0184	NA	.01	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01030	Chromium, wf	NA	NA	1.05	NA	.01	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01035	Cobalt, wf	NA	NA	0.0725	NA	.01	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01040	Copper, wf	NA	NA	0.4471	NA	.13	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01046	Iron, wf	NA	NA	140.1	NA	6	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01049	Lead, wf	NA	NA	0.1769	NA	.02	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01056	Manganese, wf	NA	NA	69.48	NA	4	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01060	Molybdenum, wf	NA	NA	0.3742	NA	.03	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01065	Nickel, wf	NA	NA	0.2078	NA	.1	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01075	Silver, wf	NA	NA	0.01	NA	.1	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01080	Strontium, wf	NA	NA	20.37	NA	.24	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01085	Vanadium, wf	NA	NA	0.2653	NA	.01	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01090	Zinc, wf	NA	NA	6.52	NA	2	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01090	Zinc, wf	NA	NA	6.52	NA	2	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01106	Aluminum, wf	NA	NA	23.43	NA	2	0	
391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	00603681	2006-06-06 15:20:00	W-91928	NA	01130	Lithium, wf	NA	NA	1.55	NA	1.55	0	
391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	00603682	2006-06-06 15:55:00	W-91926	NA	01000	Arsenic, wf	NA	NA	0.696	NA	.04	0	
391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	00603682	2006-06-06 15:55:00	W-91926	NA	01005	Barium, wf	NA	NA	21.23	NA	.02	0	
391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	00603682	2006-06-06 15:55:00	W-91926	NA	01025	Cadmium, wf	NA	NA	0.093	NA	.01	0	
391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	00603682	2006-06-06 15:55:00	W-91926	NA	01030	Chromium, wf	NA	NA	0.966	NA	.01	0	
391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	00603682	2006-06-06 15:55:00	W-91926	NA	01035	Cobalt, wf	NA	NA	0.068	NA	.01	0	
391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	00603682	2006-06-06 15:55:00	W-91926	NA	01040	Copper, wf	NA	NA	1.13	NA	.13	0	
391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	00603682	2006-06-06 15:55:00	W-91926	NA	01046	Iron, wf	NA	NA	150.8	NA	6	0	
