SITE_NO	STATION_NM	SAMPLE_START_DT	SAMPLE_END_DT	MEDIUM_CD	RECORD_NO	sum_cat	sum_an	perc.diff	complete.chem	Alk	Ca	Cl	Fe	K	Mg	Mn	Na	SO4	flags
391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2011-06-08 10:00:00	NA	WG 	01102697	1.4876369034	1.59218795	-3.39470754268965	Complete	0.061938	0.8355755	0.00961961	0.0567753226	0.02870076	0.3810027	0.0734396208	0.112143	1.52063034	
391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2011-06-09 09:15:00	NA	WG 	01102699	8.96018822509	9.66240443	-3.77077573416217	Complete	0.291708	4.8989325	0.00758849	0.35138666349	0.0509042	2.44286094	0.8286494216	0.3874545	9.36310794	
391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2011-06-06 13:30:00	NA	WS 	01102704	0.50980622071	0.54017854	-2.89264381984575	Complete	0.115884	0.2990507	0.00502138	0.00302705511	0.01350624	0.11751012	0.0241206056	0.0525915	0.41927316	
391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2011-06-07 13:20:00	NA	WS 	01102705	1.9399603768	2.57799548	-14.1222075518885	Complete	0.001998	1.1205544	0.00835016	0.0002263192	0.0454045	0.53554332	0.1260453376	0.1121865	2.56764732	Charge imbalance > 10%
391445106230701	SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1	2011-06-07 12:30:00	NA	WG 	01102706	1.47352648327	1.49529924	-0.733379415280012	Complete	0.505494	0.7833801	0.0118482	0.00265663647	0.03949552	0.54533583	0.0008248968	0.1018335	0.97795704	
391449106232001	SC00908124DDBC1 SBGS-02 STRAWBERRY GULCH SEEP 2	2011-06-07 14:55:00	NA	WG 	01102707	1.44593955771	1.63145064	-6.02819500848628	Complete	0.693306	0.7859749	0.0101556	0.01911648811	0.02836822	0.41770404	0.0304764096	0.1642995	0.92798904	Charge imbalance > 5%
391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2011-06-08 10:25:00	NA	WG 	01102708	2.97056196971	3.24578031	-4.42733568883919	Complete	0.00999	1.9015892	0.01227135	0.00018732211	0.05630158	0.7644741	0.0887562676	0.1592535	3.22351896	
391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2011-06-08 10:45:00	NA	WG 	01102709	3.3706770013	4.67201536	-16.1803821436937	Complete	0.001998	1.544904	0.01703884	0.0551835681	0.04000712	0.81516474	0.7480295732	0.167388	4.65297852	Charge imbalance > 10%
391504106225001	SC00908019CBA2 LSGS-0A	2011-06-08 11:20:00	NA	WG 	01102710	0.33808909624	0.39465735	-7.72003113086023	Complete	0.22977	0.1642209	0.01260987	0.00411757704	0.015348	0.07315581	0.0003368092	0.08091	0.15227748	Charge imbalance > 5%
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2011-06-08 14:35:00	NA	WG 	01102711	4.09554207436	4.11190732	-0.199395023394798	Complete	0.51948	2.0413591	0.00992992	0.17032224356	0.03622128	1.20933384	0.4352911108	0.2030145	3.5824974	
