RECORD_NO	SITE_NO	STATION_NM	SAMPLE_START_DT	MEDIUM_CD	Fil.greater.Unf	Fil.greater.Unf.10perc	RPD.greater.10perc	RPD.greater.10perc.DL	imbalance.greater.10perc	imbalance.greater.10perc.complete
01205310	391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2012-09-20 17:45:00	WS 	3	1			TRUE	TRUE
01205311	391510106241001	SC00908124BCCB1 CG-05 CABIN SHAFT NR COLORADO GULC	2012-09-21 09:40:00	WG 	3	2	1	10	FALSE	FALSE
01205312	391512106235701	SC00908124BCAD1 TT-0 TIGER MINE DRAINAGE TUN NR LE	2012-09-21 10:15:00	WG 	7	2			TRUE	TRUE
01205313	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2012-09-21 12:30:00	WS 	5	0			FALSE	FALSE
01205314	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2012-09-21 14:00:00	WG 	5	0			FALSE	FALSE
01205315	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2012-09-21 15:15:00	WS 	2	1			FALSE	FALSE
01205316	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2012-09-20 09:15:00	WG 	3	0			FALSE	FALSE
01205317	391606106241601	SC00908113ADB TL-ADIT	2012-09-20 10:25:00	WG 	4	0			TRUE	TRUE
01205319	391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2012-09-20 12:05:00	WG 	4	0			FALSE	FALSE
01205320	391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	2012-09-20 13:10:00	WG 	0	0			FALSE	FALSE
01205321	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2012-09-20 15:00:00	WG 	1	1	0	5	FALSE	FALSE
01205322	391516106224401	SC00908019BDBB3 BPS-04 BUFFALO PK SEEP NR LEADVILL	2012-09-20 15:40:00	WG 	0	0			FALSE	FALSE
01205323	391517106224701	SC00908019BDBB2 BPS-03 BUFFALO PK SEEP NR LEADVILL	2012-09-20 15:45:00	WG 	0	0			TRUE	TRUE
01205324	391519106230901	LSGS-11, LITTLE SUGARLOAF GULCH SEEP 11	2012-09-20 16:50:00	WG 	0	0			TRUE	TRUE
01205325	391518106230901	LSGS-10, LITTLE SUGARLOAF GULCH SEEP 10	2012-09-20 17:15:00	WG 	0	0			FALSE	FALSE
01205326	391517106230601	SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5	2012-09-20 17:40:00	WG 	0	0			FALSE	FALSE
01205327	391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2012-09-20 18:00:00	WS 	2	0			FALSE	FALSE
01205328	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2012-09-21 09:20:00	WG 	0	0			FALSE	FALSE
01205329	391516106230301	SC00908019BCBB1 LSGS-04 LITTLE SUGARLOAF GL SEEP 4	2012-09-21 09:55:00	WG 	3	4	6	5	FALSE	FALSE
01205330	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2012-09-21 11:00:00	WS 	0	0			FALSE	FALSE
01205331	391445106230701	SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1	2012-09-21 11:40:00	WG 	0	0			FALSE	FALSE
01205332	391449106232001	SC00908124DDBC1 SBGS-02 STRAWBERRY GULCH SEEP 2	2012-09-21 12:10:00	WG 	0	0			FALSE	FALSE
01205333	391513106232601	SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4	2012-09-21 13:55:00	WG 	0	0			FALSE	FALSE
01205334	391513106230401	DINERO BULKHEAD SPIGOT AT 1250 FT NR LEADVILLE, CO	2012-09-21 16:00:00	WG 	2	1			FALSE	FALSE
01205335	391512106230401	DINERO STRUCTURE AT 1200 FT NEAR LEADVILLE, CO	2012-09-21 15:50:00	WG 	7	1			FALSE	FALSE
01205336	391512106230301	DINERO DRIPPER AT 1140 FEET NEAR LEADVILLE, CO	2012-09-21 15:40:00	WG 	4	3			FALSE	FALSE
01205466	391513106230402	DINERO MINE TUNNEL DRAINAGE FROM BEHIND BULKHEAD	2012-05-31 14:30:00	WG 	0	0			FALSE	FALSE
01304602	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2013-05-30 12:37:00	WGQ	3	2			TRUE	TRUE
01304603	391600106235701	TLS-05 TURQUOISE LAKE SOUTH 5	2013-05-30 14:32:00	OAQ	1	2			TRUE	TRUE
01304604	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2013-05-31 09:52:00	OAQ	0	7			TRUE	TRUE
01304605	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2013-05-31 10:47:00	WGQ	0	0			TRUE	TRUE
01304606	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2013-05-30 13:52:00	OAQ	0	5			TRUE	TRUE
01304607	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2013-05-30 16:07:00	WSQ	0	1			FALSE	FALSE
01304608	391500106224901	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	2013-05-31 10:57:00	WGQ	2	4			TRUE	TRUE
01304609	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2013-05-31 12:12:00	OAQ	0	5			TRUE	TRUE
01304610	391501106225001	SLGS-09 SUGARLOAF GULCH SEEP 9 PIPE NR DINERO, CO	2013-09-19 13:12:00	OAQ	0	4			TRUE	TRUE
01304611	391443106225701	SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO	2013-09-19 16:07:00	WSQ	0	2			FALSE	FALSE
01304612	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2013-09-20 10:32:00	OAQ	0	2			TRUE	TRUE
01304613	391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2013-09-20 12:37:00	WSQ	4	2			FALSE	FALSE
01304614	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2013-09-19 14:42:00	OAQ	0	2			TRUE	TRUE
01304615	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2013-09-19 16:37:00	WGQ	4	4			FALSE	FALSE
01304616	391502106230601	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	2013-09-20 13:27:00	WSQ	4	4			TRUE	TRUE
01304617	391501106225401	SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU	2013-09-20 15:42:00	OAQ	0	3			TRUE	TRUE
01305819	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2013-05-30 12:30:00	WG 	2	4	7	24	TRUE	TRUE
01305820	391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2013-05-30 14:00:00	WG 	2	4			FALSE	FALSE
01305821	391600106235701	TLS-05 TURQUOISE LAKE SOUTH 5	2013-05-30 14:30:00	WS 	0	1			FALSE	FALSE
01305822	391606106241601	SC00908113ADB TL-ADIT	2013-05-30 15:45:00	WG 	4	2			TRUE	TRUE
01305823	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2013-05-30 17:30:00	WG 	3	2			FALSE	FALSE
01305824	391501106225001	SLGS-09 SUGARLOAF GULCH SEEP 9 PIPE NR DINERO, CO	2013-05-31 09:20:00	WG 	0	0			FALSE	FALSE
01305825	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2013-05-31 09:50:00	WS 	2	7			FALSE	FALSE
01305826	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2013-05-31 10:45:00	WG 	0	0	3	13	TRUE	TRUE
01305827	391517106230601	SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5	2013-05-31 11:30:00	WG 	0	0			FALSE	FALSE
01305828	391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2013-05-31 12:00:00	WS 	1	4			FALSE	FALSE
01305829	391518106230901	LSGS-10, LITTLE SUGARLOAF GULCH SEEP 10	2013-05-31 12:30:00	WG 	0	0			TRUE	TRUE
01305830	391519106230901	LSGS-11, LITTLE SUGARLOAF GULCH SEEP 11	2013-05-31 12:50:00	WG 	0	0			TRUE	TRUE
01305832	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2013-05-31 15:00:00	WS 	0	1			TRUE	TRUE
01305833	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2013-05-30 14:05:00	WG 	4	3			FALSE	FALSE
