"RECORD_NO"	"SITE_NO"	"STATION_NM"	"SAMPLE_START_DT"	"MEDIUM_CD"	"PROJECT_CD"	"RA_Metals"	"FA_Metals"	"Iron"	"Anions"	"Alkalinity"	"Isotopes"	"Field"	"Q"
"85"	"01403809"	"391445106230701"	"SC00908124DDDA1 SBGS-01 STRAWBERRY GULCH SEEP 1"	2014-09-24 09:30:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"86"	"01403810"	"391449106232001"	"SC00908124DDBC1 SBGS-02 STRAWBERRY GULCH SEEP 2"	2014-09-24 10:15:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"87"	"01403811"	"391513106232601"	"SC00908124ACAD1 SLGS-04 SUGARLOAF GULCH SEEP 4"	2014-09-24 11:30:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"88"	"01403812"	"391501106230601"	"NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL"	2014-09-24 13:40:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"89"	"01403813"	"391501106225401"	"SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU"	2014-09-24 14:25:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"90"	"01403814"	"391454106224201"	"LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO"	2014-09-23 11:45:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"91"	"01403815"	"391500106224901"	"UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI"	2014-09-23 12:45:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"92"	"01403816"	"391501106224901"	"SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7"	2014-09-23 13:15:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"93"	"01403817"	"391504106225200"	"DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE"	2014-09-23 14:10:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"94"	"01403818"	"391504106223001"	"LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO"	2014-09-23 15:30:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	"00061"
"95"	"01403819"	"391517106223801"	"BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA"	2014-09-23 16:45:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"96"	"01403820"	"391504106225201"	"LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D"	2014-09-24 09:00:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"97"	"01403822"	"391517106230602"	"LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO"	2014-09-24 10:30:00	"WS "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"98"	"01403823"	"391517106230601"	"SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5"	2014-09-24 10:50:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"99"	"01403824"	"391519106230901"	"LSGS-11, LITTLE SUGARLOAF GULCH SEEP 11"	2014-09-24 11:05:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"100"	"01403825"	"391518106230901"	"LSGS-10, LITTLE SUGARLOAF GULCH SEEP 10"	2014-09-24 11:20:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"101"	"01403826"	"391512106230401"	"DINERO STRUCTURE AT 1200 FT NEAR LEADVILLE, CO"	2014-09-24 13:40:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"102"	"01403827"	"391513106230401"	"DINERO BULKHEAD SPIGOT AT 1250 FT NR LEADVILLE, CO"	2014-09-24 13:50:00	"WG "	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	"00061"
"103"	"01403972"	"391512106230001"	"SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3"	2014-09-24 09:50:00	"WG "	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"104"	"01304602"	"391504106225200"	"DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE"	2013-05-30 12:37:00	"WGQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"105"	"01304603"	"391600106235701"	"TLS-05 TURQUOISE LAKE SOUTH 5"	2013-05-30 14:32:00	"OAQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"106"	"01304604"	"391504106225201"	"LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D"	2013-05-31 09:52:00	"OAQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"107"	"01304605"	"391512106230001"	"SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3"	2013-05-31 10:47:00	"WGQ"	"009YD0200"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"108"	"01304606"	"391435106230801"	"SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD"	2013-05-30 13:52:00	"OAQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"109"	"01304607"	"391443106225701"	"SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO"	2013-05-30 16:07:00	"WSQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	"82082,82085"	""	""
"110"	"01304608"	"391500106224901"	"UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI"	2013-05-31 10:57:00	"WGQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"111"	"01304609"	"391501106225401"	"SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU"	2013-05-31 12:12:00	"OAQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"112"	"01304610"	"391501106225001"	"SLGS-09 SUGARLOAF GULCH SEEP 9 PIPE NR DINERO, CO"	2013-09-19 13:12:00	"OAQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"113"	"01304611"	"391443106225701"	"SBG-0 STRAWBERRY GULCH AT MOUTH NR LEADVILLE, CO"	2013-09-19 16:07:00	"WSQ"	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"114"	"01304612"	"391512106230001"	"SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3"	2013-09-20 10:32:00	"OAQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"115"	"01304613"	"391517106230602"	"LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO"	2013-09-20 12:37:00	"WSQ"	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"116"	"01304614"	"391435106230801"	"SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD"	2013-09-19 14:42:00	"OAQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"117"	"01304615"	"391517106223801"	"BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA"	2013-09-19 16:37:00	"WGQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	""	""	""
"118"	"01304616"	"391502106230601"	"SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK"	2013-09-20 13:27:00	"WSQ"	"009YD0200"	""	""	""	"00940"	"00418,29802,63786"	""	""	""
"119"	"01304617"	"391501106225401"	"SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU"	2013-09-20 15:42:00	"OAQ"	"009YD0200"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"120"	"01403089"	"391454106224201"	"LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO"	2014-05-29 11:32:00	"OAQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"121"	"01403090"	"391504106225201"	"LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D"	2014-05-29 14:07:00	"WSQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"122"	"01403091"	"391504106223001"	"LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO"	2014-05-30 09:22:00	"OAQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"123"	"01403092"	"391517106223801"	"BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA"	2014-05-30 10:07:00	"WGQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"124"	"01403093"	"391452106224201"	"LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL"	2014-05-29 10:52:00	"OAQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"125"	"01403094"	"391502106230601"	"SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK"	2014-05-29 16:27:00	"WSQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"126"	"01403095"	"391559106230901"	"SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP"	2014-05-30 09:47:00	"WGQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	"00061"
"127"	"01403096"	"391530106223601"	"SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI"	2014-05-30 13:02:00	"OAQ"	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	"01075,01106,01000,01005,01010,01015,00915,01025,01110,01035,01030,01115,01040,82331,50573,50574,01120,50575,01125,50577,00935,01180,01130,62844,00925,01056,01060,00930,50580,50579,01065,00666,01049,50582,01135,01095,01187,01145,00955,82323,01080,82319,50586,82365,01150,01057,50587,22703,01085,01155,01201,01194,01090,01160"	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"128"	"01404068"	"391454106224201"	"LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO"	2014-09-23 11:42:00	"OAQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"129"	"01404069"	"391606106241601"	"SC00908113ADB TL-ADIT"	2014-09-23 12:22:00	"OAQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"130"	"01404070"	"391502106230601"	"SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK"	2014-09-24 12:47:00	"WSQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"131"	"01404071"	"391500106224901"	"UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI"	2014-09-23 12:47:00	"WGQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
"132"	"01404072"	"391504106225201"	"LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D"	2014-09-24 09:02:00	"OAQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"133"	"01404073"	"391512106230001"	"SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3"	2014-09-24 09:57:00	"WGQ"	"009YD1900"	"01077,01105,00978,01007,01012,01017,00916,01113,01112,01037,01034,01117,01042,82330,01246,01236,01045,01122,01219,01127,01247,00937,01182,01132,01244,00927,01055,01062,00929,01239,01237,01067,00665,01051,01238,01137,01097,01189,01147,00954,82322,00946,01082,82318,01218,82364,01152,01059,01245,22704,00985,01154,01203,01196,01092,01162"	""	""	""	"00418,29802,63786"	""	""	""
"134"	"01404075"	"391501106225401"	"SLG-01 SUGARLOAF GULCH US FROM DINERO MINE DRNG TU"	2014-09-24 14:22:00	"OAQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	"82082,82085"	"00010,00095,00400,00300"	"00061"
"135"	"01404076"	"391559106230901"	"SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP"	2014-09-23 14:07:00	"WGQ"	"009YD1900"	""	""	""	""	"00418,29802,63786"	""	""	""
